 age, marital_status, education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped
46,married,Bachelor Degree,Male,16,<15 kms,Company Website,3,9/25/15,10/16/15,35,4,Lateral,Yes,22,Yes,No
33,married,Associate Certification,Female,40,> 20 kms,Job Portals,10,11/24/15,5/4/16,15,3,Lateral,Yes,9,No,Yes
31,married,Associate Degree,Female,26,> 20 kms,Job Portals,8,4/5/15,9/3/15,22,5,Lateral,Yes,7,No,Yes
30,single,Associate Certification,Male,22,15-20 kms,Job Portals,5,6/5/15,6/29/15,29,4,Vertical,Yes,6,No,No
33,married,Associate Certification,Male,18,> 20 kms,Social Media,3,6/24/15,7/30/15,40,8,Vertical,No,9,Yes,No
27,married,Associate Certification,Female,19,<15 kms,Social Media,10,1/7/15,7/3/15,28,5,Lateral,Yes,3,No,Yes
37,single,Associate Degree,Male,22,15-20 kms,Job Portals,7,5/18/15,6/14/15,57,7,Lateral,Yes,13,Yes,No
38,divorced,Master Degree,Female,24,> 20 kms,Internal Referrals,8,6/16/15,12/12/15,17,6,Lateral,Yes,14,No,Yes
27,married,Associate Degree,Male,19,15-20 kms,Consultants,6,5/11/15,5/24/15,31,4,Vertical,Yes,3,No,No
29,single,Associate Degree,Male,11,<15 kms,Consultants,5,12/28/15,1/12/16,63,3,Vertical,No,5,No,No
37,married,Associate Certification,Male,29,15-20 kms,Company Website,5,7/28/15,8/10/15,67,4,Lateral,No,13,No,No
38,married,Bachelor Degree,Male,24,> 20 kms,Internal Referrals,9,4/30/15,10/19/15,18,6,Lateral,Yes,14,No,Yes
42,married,Associate Certification,Male,35,> 20 kms,Job Portals,10,11/14/15,5/8/16,29,6,Lateral,Yes,18,No,Yes
35,married,Master Degree,Male,10,<15 kms,Social Media,6,5/12/15,5/28/15,58,5,Vertical,Yes,11,No,No
38,married,Associate Degree,Male,24,<15 kms,Social Media,10,5/3/16,10/30/16,26,8,Lateral,Yes,14,No,Yes
40,married,Associate Certification,Male,36,> 20 kms,Consultants,10,3/17/15,8/31/15,29,3,Lateral,Yes,13,No,Yes
35,single,Associate Degree,Male,30,> 20 kms,Consultants,10,9/13/15,3/3/16,22,8,Lateral,Yes,11,No,Yes
42,married,Associate Certification,Male,22,> 20 kms,Social Media,8,6/16/15,11/26/15,24,7,Lateral,Yes,18,No,Yes
28,divorced,Associate Certification,Male,18,> 20 kms,Company Website,8,10/29/15,11/12/15,61,5,Vertical,Yes,4,No,No
31,married,Associate Certification,Male,27,<15 kms,Job Portals,7,2/9/15,3/9/15,63,5,Lateral,No,7,Yes,No
35,divorced,Bachelor Degree,Male,11,> 20 kms,Job Portals,3,12/24/15,1/24/16,36,4,Vertical,Yes,11,No,No
37,married,Associate Certification,Male,24,> 20 kms,Company Website,9,9/28/15,10/3/15,75,7,Lateral,No,13,Yes,No
38,married,Master Degree,Male,32,> 20 kms,Consultants,9,6/16/15,12/2/15,15,5,Lateral,Yes,14,No,Yes
38,married,Master Degree,Male,19,> 20 kms,Job Portals,9,12/20/15,5/23/16,21,7,Lateral,Yes,14,No,Yes
25,married,Associate Certification,Male,20,> 20 kms,Consultants,10,10/15/15,4/12/16,23,1,Lateral,Yes,1,No,Yes
25,married,Bachelor Degree,Male,17,<15 kms,Social Media,3,3/30/16,4/15/16,80,1,Lateral,No,1,Yes,No
43,single,Associate Certification,Male,22,> 20 kms,Consultants,8,11/29/15,5/25/16,20,6,Lateral,Yes,19,No,Yes
40,married,Master Degree,Male,27,15-20 kms,Consultants,7,2/11/15,3/14/15,25,7,Lateral,No,16,Yes,No
42,married,Associate Degree,Male,25,<15 kms,Internal Referrals,10,2/6/15,8/3/15,16,8,Lateral,Yes,18,No,Yes
43,married,Associate Degree,Male,32,> 20 kms,Consultants,10,12/17/15,6/10/16,27,6,Lateral,Yes,19,No,Yes
38,married,Bachelor Degree,Male,34,<15 kms,Internal Referrals,10,11/24/15,5/1/16,17,6,Lateral,Yes,14,No,Yes
32,married,Associate Certification,Male,18,<15 kms,Social Media,10,6/23/16,11/14/16,22,6,Lateral,Yes,8,No,Yes
25,single,Bachelor Degree,Male,17,> 20 kms,Consultants,3,11/14/15,12/23/15,46,1,Lateral,Yes,1,Yes,No
44,married,Associate Degree,Male,26,<15 kms,Job Portals,3,11/13/15,11/15/15,52,7,Lateral,Yes,20,No,No
28,married,Associate Certification,Male,37,<15 kms,Social Media,9,12/24/15,5/16/16,29,3,Lateral,Yes,4,No,Yes
36,married,Associate Certification,Male,10,> 20 kms,Company Website,3,5/18/16,5/31/16,81,7,Lateral,No,12,No,No
28,married,Associate Certification,Male,17,<15 kms,Company Website,4,2/5/15,3/11/15,32,4,Vertical,No,4,Yes,No
25,married,Associate Degree,Male,19,> 20 kms,Social Media,7,10/19/15,10/21/15,91,1,Lateral,No,1,No,No
28,married,Bachelor Degree,Male,16,> 20 kms,Internal Referrals,8,7/18/15,1/6/16,20,3,Lateral,Yes,4,No,Yes
26,married,Bachelor Degree,Male,24,> 20 kms,Internal Referrals,8,2/3/15,6/24/15,26,2,Lateral,Yes,2,No,Yes
31,single,Associate Degree,Male,25,<15 kms,Internal Referrals,8,6/29/15,11/20/15,25,5,Lateral,Yes,7,No,Yes
27,married,Associate Certification,Male,25,> 20 kms,Job Portals,9,3/27/15,9/20/15,28,5,Lateral,Yes,3,No,Yes
43,married,Master Degree,Male,22,> 20 kms,Job Portals,9,8/20/15,1/8/16,22,8,Lateral,Yes,19,No,Yes
40,divorced,Master Degree,Male,17,<15 kms,Consultants,8,9/13/15,2/9/16,20,4,Lateral,Yes,16,No,Yes
44,married,Associate Certification,Male,20,> 20 kms,Social Media,9,7/8/16,12/10/16,19,7,Lateral,Yes,20,No,Yes
36,married,Associate Certification,Male,34,> 20 kms,Internal Referrals,9,8/20/15,1/17/16,18,3,Lateral,Yes,8,No,Yes
34,married,Associate Certification,Male,11,<15 kms,Consultants,4,5/11/15,6/12/15,53,6,Vertical,Yes,10,Yes,No
41,married,Associate Degree,Male,14,> 20 kms,Social Media,5,10/16/15,10/23/15,78,6,Lateral,Yes,17,No,No
41,married,Associate Certification,Male,13,> 20 kms,Social Media,3,3/22/16,4/10/16,58,6,Vertical,Yes,17,Yes,No
31,divorced,Associate Degree,Male,11,> 20 kms,Job Portals,8,2/1/16,2/2/16,29,4,Vertical,No,7,Yes,No
39,married,Associate Certification,Male,19,15-20 kms,Social Media,10,1/5/15,1/28/15,68,8,Vertical,Yes,15,No,No
33,married,Associate Certification,Male,26,<15 kms,Job Portals,9,5/25/15,6/21/15,51,5,Vertical,No,9,No,No
27,single,Associate Certification,Male,16,<15 kms,Consultants,9,5/25/15,7/1/15,80,5,Vertical,No,6,Yes,No
34,single,Associate Certification,Male,16,15-20 kms,Social Media,4,2/20/16,2/25/16,63,7,Vertical,Yes,10,No,No
41,married,Bachelor Degree,Male,18,> 20 kms,Consultants,10,5/22/15,10/15/15,29,4,Lateral,Yes,17,No,Yes
32,married,Bachelor Degree,Male,29,<15 kms,Company Website,3,3/14/16,4/9/16,80,5,Vertical,Yes,8,Yes,No
34,married,Associate Degree,Male,13,<15 kms,Company Website,5,3/7/15,3/15/15,79,7,Lateral,Yes,10,Yes,No
41,married,Master Degree,Male,38,> 20 kms,Internal Referrals,9,11/24/15,4/15/16,16,8,Lateral,Yes,17,No,Yes
42,married,Associate Degree,Male,22,> 20 kms,Internal Referrals,10,6/16/15,12/3/15,18,5,Lateral,Yes,9,No,Yes
35,married,Associate Degree,Male,27,> 20 kms,Social Media,8,3/31/15,9/6/15,29,7,Lateral,Yes,11,No,Yes
31,married,Associate Certification,Male,30,<15 kms,Consultants,8,1/8/15,6/7/15,29,3,Lateral,Yes,7,No,Yes
33,married,Master Degree,Male,21,> 20 kms,Consultants,10,12/17/15,6/14/16,25,5,Lateral,Yes,9,No,Yes
30,single,Bachelor Degree,Male,31,> 20 kms,Social Media,10,9/11/15,2/16/16,20,4,Lateral,Yes,6,No,Yes
44,married,Bachelor Degree,Male,11,<15 kms,Consultants,3,11/13/15,12/5/15,91,3,Lateral,Yes,20,No,No
26,married,Associate Certification,Male,18,15-20 kms,Consultants,3,4/2/16,4/16/16,80,1,Vertical,No,2,No,No
36,married,Associate Degree,Male,17,<15 kms,Company Website,3,8/25/15,9/18/15,81,3,Lateral,Yes,12,Yes,No
38,married,Master Degree,Male,11,> 20 kms,Social Media,3,7/18/15,8/7/15,95,3,Lateral,Yes,14,No,No
40,married,Master Degree,Male,39,> 20 kms,Consultants,9,9/24/15,2/12/16,23,7,Lateral,Yes,16,No,Yes
38,married,Master Degree,Male,18,> 20 kms,Social Media,10,1/20/16,6/8/16,21,3,Lateral,Yes,11,No,Yes
37,married,Bachelor Degree,Male,18,<15 kms,Job Portals,3,4/2/16,4/28/16,74,8,Lateral,No,13,No,No
32,married,Associate Degree,Male,26,<15 kms,Internal Referrals,8,4/26/15,10/16/15,23,6,Lateral,Yes,8,No,Yes
44,single,Associate Certification,Male,10,15-20 kms,Job Portals,8,7/10/15,8/8/15,72,6,Vertical,Yes,20,Yes,No
27,single,Associate Degree,Male,27,> 20 kms,Consultants,8,12/24/15,6/9/16,30,4,Lateral,Yes,3,No,Yes
44,divorced,Associate Certification,Male,16,> 20 kms,Job Portals,3,1/3/15,1/4/15,69,6,Lateral,Yes,20,Yes,No
36,divorced,Associate Certification,Male,16,> 20 kms,Consultants,5,12/24/15,1/13/16,52,7,Lateral,Yes,12,Yes,No
37,married,Master Degree,Male,16,> 20 kms,Consultants,7,12/20/15,12/25/15,52,3,Lateral,Yes,13,Yes,No
44,married,Associate Degree,Male,13,15-20 kms,Job Portals,10,5/27/15,5/28/15,37,7,Lateral,No,20,No,No
34,married,Bachelor Degree,Male,40,> 20 kms,Social Media,10,3/23/16,8/27/16,25,3,Lateral,Yes,6,No,Yes
35,married,Bachelor Degree,Male,33,<15 kms,Internal Referrals,8,12/17/15,6/5/16,24,3,Lateral,Yes,7,No,Yes
37,married,Associate Certification,Male,28,> 20 kms,Social Media,9,3/31/15,9/10/15,27,8,Lateral,Yes,13,No,Yes
30,married,Bachelor Degree,Male,19,<15 kms,Consultants,9,2/27/16,7/26/16,16,4,Lateral,Yes,6,No,Yes
33,married,Bachelor Degree,Male,21,> 20 kms,Consultants,10,12/25/15,5/28/16,30,3,Lateral,Yes,9,No,Yes
33,single,Associate Degree,Male,23,> 20 kms,Consultants,9,11/8/15,4/19/16,26,4,Lateral,Yes,9,No,Yes
31,single,Bachelor Degree,Male,35,> 20 kms,Social Media,10,10/16/15,4/7/16,15,5,Lateral,Yes,7,No,Yes
39,single,Associate Degree,Male,26,15-20 kms,Job Portals,7,2/15/16,3/6/16,28,6,Vertical,No,15,Yes,No
40,married,Associate Degree,Male,38,> 20 kms,Social Media,10,2/3/15,7/18/15,20,8,Lateral,Yes,16,No,Yes
37,married,Associate Certification,Male,14,<15 kms,Social Media,4,3/17/15,3/18/15,49,7,Vertical,Yes,13,No,No
30,single,Associate Certification,Male,34,> 20 kms,Job Portals,8,6/16/15,11/8/15,16,4,Lateral,Yes,6,No,Yes
40,married,Associate Certification,Male,23,<15 kms,Job Portals,10,4/18/15,9/27/15,15,4,Lateral,Yes,10,No,Yes
26,single,Associate Certification,Male,24,<15 kms,Job Portals,8,10/25/15,3/25/16,25,1,Lateral,Yes,2,No,Yes
28,single,Associate Certification,Male,16,<15 kms,Social Media,10,11/24/15,4/19/16,19,4,Lateral,Yes,4,No,Yes
35,married,Bachelor Degree,Male,10,15-20 kms,Job Portals,5,3/2/16,3/10/16,64,7,Lateral,No,11,Yes,No
36,married,Master Degree,Male,26,15-20 kms,Job Portals,9,8/25/15,9/16/15,62,7,Lateral,No,12,No,No
43,divorced,Bachelor Degree,Male,19,<15 kms,Job Portals,9,6/19/15,7/13/15,78,6,Vertical,Yes,19,Yes,No
33,single,Master Degree,Male,16,<15 kms,Job Portals,9,3/7/15,8/23/15,19,4,Lateral,Yes,9,No,Yes
45,married,Associate Degree,Male,18,> 20 kms,Job Portals,3,12/28/15,1/15/16,94,4,Vertical,No,21,Yes,No
35,single,Associate Certification,Male,26,<15 kms,Internal Referrals,8,6/7/15,10/28/15,19,6,Lateral,Yes,11,No,Yes
45,married,Bachelor Degree,Male,22,> 20 kms,Social Media,10,12/25/15,5/13/16,17,7,Lateral,Yes,21,No,Yes
42,married,Master Degree,Male,12,> 20 kms,Consultants,3,5/16/16,5/31/16,90,4,Vertical,Yes,18,Yes,No
37,married,Associate Certification,Male,20,> 20 kms,Social Media,10,4/3/16,4/12/16,64,3,Vertical,Yes,13,Yes,No
31,married,Associate Degree,Male,27,<15 kms,Company Website,3,4/1/16,4/11/16,86,5,Vertical,No,7,Yes,No
28,married,Associate Degree,Male,26,> 20 kms,Internal Referrals,8,8/16/15,2/3/16,27,4,Lateral,Yes,4,No,Yes
44,married,Master Degree,Male,26,<15 kms,Social Media,9,5/25/15,10/29/15,29,5,Lateral,Yes,20,No,Yes
28,married,Associate Degree,Male,26,15-20 kms,Job Portals,10,10/16/15,10/18/15,73,5,Vertical,No,4,No,No
45,single,Associate Certification,Male,20,15-20 kms,Social Media,7,11/14/15,11/17/15,44,4,Lateral,Yes,21,Yes,No
31,married,Associate Certification,Male,23,<15 kms,Internal Referrals,10,2/20/16,8/18/16,25,5,Lateral,Yes,7,No,Yes
44,married,Master Degree,Male,21,> 20 kms,Consultants,10,8/16/15,2/5/16,18,6,Lateral,Yes,20,No,Yes
43,married,Bachelor Degree,Male,25,<15 kms,Social Media,8,1/12/15,6/24/15,23,6,Lateral,Yes,19,No,Yes
41,married,Associate Degree,Male,24,> 20 kms,Consultants,10,7/22/15,12/10/15,24,6,Lateral,Yes,17,No,Yes
42,married,Associate Degree,Male,21,> 20 kms,Social Media,9,2/27/16,8/22/16,19,6,Lateral,Yes,18,No,Yes
37,divorced,Bachelor Degree,Male,16,15-20 kms,Social Media,10,8/11/15,9/3/15,45,4,Vertical,No,13,No,No
26,married,Associate Degree,Male,19,15-20 kms,Consultants,3,7/18/15,8/24/15,73,2,Lateral,Yes,2,No,No
39,married,Master Degree,Male,18,15-20 kms,Consultants,6,10/19/15,11/14/15,76,4,Lateral,No,15,No,No
38,married,Bachelor Degree,Male,10,> 20 kms,Social Media,8,11/10/15,11/24/15,63,6,Lateral,Yes,14,Yes,No
45,single,Master Degree,Male,33,> 20 kms,Social Media,10,4/13/16,9/3/16,24,8,Lateral,No,21,No,Yes
25,married,Associate Degree,Male,18,<15 kms,Social Media,10,6/16/15,11/17/15,27,1,Lateral,No,1,No,Yes
35,married,Associate Certification,Male,11,15-20 kms,Social Media,9,4/8/15,5/11/15,33,6,Vertical,Yes,11,No,No
27,married,Bachelor Degree,Male,27,> 20 kms,Internal Referrals,8,3/31/15,8/23/15,27,4,Lateral,Yes,3,No,Yes
45,married,Associate Degree,Male,26,> 20 kms,Job Portals,9,12/24/15,6/7/16,30,6,Lateral,No,21,No,Yes
41,married,Master Degree,Male,22,<15 kms,Consultants,9,10/25/15,4/6/16,20,4,Lateral,Yes,11,No,Yes
35,married,Master Degree,Male,25,> 20 kms,Social Media,10,11/29/15,5/8/16,24,7,Lateral,Yes,11,No,Yes
31,married,Associate Degree,Male,11,15-20 kms,Job Portals,3,2/15/16,3/7/16,55,4,Lateral,Yes,7,Yes,No
37,divorced,Master Degree,Male,23,<15 kms,Company Website,5,11/11/15,12/11/15,40,6,Lateral,No,13,Yes,No
29,married,Associate Certification,Male,12,> 20 kms,Consultants,3,6/5/15,6/22/15,86,3,Lateral,Yes,5,No,No
39,married,Associate Certification,Male,24,> 20 kms,Internal Referrals,9,6/8/16,11/21/16,20,7,Lateral,No,15,No,Yes
30,married,Associate Certification,Male,25,<15 kms,Consultants,8,1/15/16,7/4/16,29,5,Lateral,No,6,No,Yes
34,married,Associate Degree,Male,29,> 20 kms,Company Website,7,3/29/15,4/22/15,40,8,Vertical,No,10,No,No
44,married,Associate Degree,Male,24,> 20 kms,Consultants,9,12/17/15,5/25/16,24,8,Lateral,No,20,No,Yes
40,married,Associate Degree,Male,16,<15 kms,Consultants,9,12/19/15,5/9/16,22,6,Lateral,Yes,16,No,Yes
37,single,Associate Degree,Male,28,> 20 kms,Job Portals,9,4/15/15,10/5/15,17,7,Lateral,Yes,13,No,Yes
32,married,Associate Certification,Male,14,15-20 kms,Consultants,8,2/2/16,2/23/16,45,5,Vertical,No,8,No,No
42,single,Associate Degree,Male,22,<15 kms,Company Website,3,9/24/15,10/21/15,76,7,Lateral,Yes,18,No,No
33,married,Master Degree,Male,30,<15 kms,Consultants,9,11/29/15,5/6/16,28,5,Lateral,Yes,9,No,Yes
41,married,Bachelor Degree,Male,12,<15 kms,Job Portals,4,10/15/15,11/17/15,34,5,Vertical,No,17,No,No
26,married,Associate Certification,Male,22,<15 kms,Internal Referrals,8,3/27/15,9/20/15,28,1,Lateral,No,2,No,Yes
29,married,Associate Certification,Male,22,15-20 kms,Job Portals,6,8/25/15,9/10/15,91,3,Vertical,No,5,No,No
46,married,Associate Certification,Male,28,<15 kms,Social Media,10,3/14/16,4/23/16,55,7,Lateral,No,22,No,No
35,married,Associate Certification,Male,23,<15 kms,Consultants,8,4/18/15,10/13/15,26,7,Lateral,Yes,11,No,Yes
45,married,Master Degree,Male,21,> 20 kms,Internal Referrals,9,8/16/15,1/28/16,18,5,Lateral,Yes,21,No,Yes
43,single,Master Degree,Male,13,15-20 kms,Job Portals,4,10/20/15,11/23/15,91,5,Vertical,No,19,Yes,No
31,married,Associate Degree,Male,21,> 20 kms,Consultants,9,5/27/15,10/29/15,29,3,Lateral,Yes,7,No,Yes
28,married,Associate Certification,Male,30,> 20 kms,Job Portals,9,10/20/15,4/9/16,18,4,Lateral,No,4,No,Yes
34,married,Master Degree,Male,21,<15 kms,Company Website,7,1/27/16,2/13/16,54,3,Vertical,Yes,10,No,No
26,married,Associate Degree,Male,20,<15 kms,Internal Referrals,8,5/27/15,11/2/15,19,1,Lateral,No,2,No,Yes
37,divorced,Master Degree,Male,18,> 20 kms,Internal Referrals,10,7/31/15,1/2/16,25,5,Lateral,Yes,13,No,Yes
41,married,Master Degree,Male,26,> 20 kms,Consultants,3,11/14/15,11/15/15,67,5,Lateral,Yes,17,No,No
44,single,Associate Certification,Male,22,<15 kms,Consultants,8,1/19/16,2/10/16,44,6,Vertical,Yes,20,No,No
35,married,Bachelor Degree,Male,22,<15 kms,Internal Referrals,9,11/24/15,5/12/16,19,7,Lateral,Yes,11,No,Yes
35,married,Associate Degree,Male,18,<15 kms,Consultants,3,12/11/15,1/4/16,91,5,Lateral,Yes,11,Yes,No
29,married,Associate Degree,Male,17,<15 kms,Consultants,9,2/2/16,2/8/16,82,3,Lateral,Yes,5,Yes,No
28,single,Associate Certification,Male,29,<15 kms,Job Portals,8,8/17/15,1/11/16,16,3,Lateral,No,4,No,Yes
31,single,Associate Certification,Male,18,<15 kms,Social Media,10,1/20/16,2/15/16,38,3,Vertical,No,7,Yes,No
31,married,Bachelor Degree,Male,21,> 20 kms,Job Portals,8,2/15/16,7/11/16,16,4,Lateral,No,7,No,Yes
34,married,Master Degree,Male,19,> 20 kms,Social Media,9,10/15/15,3/9/16,26,5,Lateral,Yes,10,No,Yes
41,married,Associate Certification,Male,16,<15 kms,Social Media,9,10/15/15,4/9/16,17,7,Lateral,No,17,No,Yes
36,married,Associate Certification,Male,14,<15 kms,Job Portals,3,8/13/15,8/30/15,50,5,Lateral,Yes,12,Yes,No
45,married,Associate Degree,Male,20,> 20 kms,Consultants,9,5/27/15,10/15/15,25,8,Lateral,Yes,21,No,Yes
40,married,Associate Degree,Male,17,> 20 kms,Social Media,10,12/9/15,1/11/16,93,3,Vertical,No,16,Yes,No
32,single,Associate Degree,Male,24,<15 kms,Consultants,8,11/12/15,4/28/16,29,4,Lateral,Yes,8,No,Yes
31,married,Associate Degree,Male,10,15-20 kms,Company Website,7,7/17/15,8/23/15,92,3,Lateral,Yes,7,Yes,No
32,married,Associate Certification,Male,24,15-20 kms,Company Website,3,4/26/15,4/27/15,92,3,Lateral,No,8,Yes,No
43,married,Master Degree,Male,19,<15 kms,Company Website,7,11/13/15,11/29/15,59,8,Lateral,No,19,No,No
25,married,Associate Degree,Male,19,> 20 kms,Social Media,8,5/22/15,11/14/15,20,1,Lateral,Yes,1,No,Yes
40,married,Associate Degree,Male,28,> 20 kms,Internal Referrals,10,2/20/16,7/28/16,17,6,Lateral,Yes,16,No,Yes
28,married,Associate Certification,Male,13,15-20 kms,Job Portals,5,2/1/16,2/3/16,27,4,Lateral,Yes,4,No,No
35,married,Bachelor Degree,Male,23,> 20 kms,Consultants,9,8/20/15,2/8/16,28,7,Lateral,No,11,No,Yes
38,divorced,Master Degree,Male,25,> 20 kms,Social Media,8,3/21/15,8/10/15,23,6,Lateral,Yes,14,No,Yes
25,married,Associate Certification,Male,23,> 20 kms,Job Portals,4,11/14/15,11/26/15,34,2,Lateral,No,2,Yes,No
32,married,Associate Degree,Male,20,> 20 kms,Job Portals,10,12/20/15,5/12/16,30,3,Lateral,No,8,No,Yes
27,married,Associate Degree,Male,15,> 20 kms,Job Portals,3,2/4/15,2/26/15,36,3,Vertical,No,3,No,No
36,single,Master Degree,Male,17,<15 kms,Job Portals,10,3/17/15,8/31/15,28,5,Lateral,No,12,No,Yes
33,married,Associate Certification,Male,18,> 20 kms,Consultants,10,4/5/15,9/23/15,27,8,Lateral,Yes,9,No,Yes
44,married,Associate Degree,Male,16,15-20 kms,Company Website,7,10/16/15,11/21/15,71,8,Lateral,Yes,20,No,No
39,single,Master Degree,Male,25,<15 kms,Consultants,9,7/15/15,12/10/15,26,7,Lateral,No,15,No,Yes
33,married,Bachelor Degree,Male,24,> 20 kms,Job Portals,10,3/5/15,8/16/15,26,5,Lateral,Yes,9,No,Yes
28,married,Bachelor Degree,Male,24,> 20 kms,Consultants,9,3/31/15,9/13/15,19,5,Lateral,Yes,4,No,Yes
46,married,Associate Degree,Male,14,15-20 kms,Company Website,6,10/9/15,10/26/15,44,5,Vertical,Yes,22,No,No
34,single,Bachelor Degree,Male,19,15-20 kms,Social Media,3,7/13/15,8/15/15,59,6,Lateral,No,10,No,No
28,married,Associate Certification,Male,12,<15 kms,Social Media,3,7/18/15,7/25/15,31,4,Vertical,Yes,4,Yes,No
33,single,Associate Certification,Male,29,> 20 kms,Consultants,8,5/27/15,10/31/15,24,6,Lateral,No,9,No,Yes
42,married,Bachelor Degree,Male,12,<15 kms,Company Website,6,1/21/16,2/11/16,36,8,Lateral,No,18,No,No
41,single,Associate Degree,Male,19,<15 kms,Social Media,3,4/2/16,4/18/16,65,8,Vertical,Yes,17,No,No
41,married,Master Degree,Male,25,> 20 kms,Job Portals,3,3/8/15,3/31/15,50,3,Vertical,No,17,No,No
41,single,Associate Degree,Male,18,> 20 kms,Consultants,10,11/14/15,4/14/16,19,8,Lateral,Yes,17,No,Yes
32,married,Associate Degree,Male,13,<15 kms,Social Media,7,12/11/15,1/4/16,78,3,Vertical,Yes,8,Yes,No
34,divorced,Bachelor Degree,Male,11,> 20 kms,Job Portals,9,3/29/15,4/15/15,71,4,Vertical,No,10,No,No
43,married,Master Degree,Male,10,<15 kms,Social Media,9,4/5/15,4/20/15,63,7,Vertical,Yes,19,Yes,No
30,married,Associate Certification,Male,26,<15 kms,Consultants,9,6/16/15,12/5/15,30,5,Lateral,No,6,No,Yes
41,married,Bachelor Degree,Male,17,15-20 kms,Job Portals,8,3/20/16,3/30/16,35,6,Vertical,Yes,17,No,No
35,married,Bachelor Degree,Male,18,15-20 kms,Consultants,5,8/29/15,9/13/15,34,3,Lateral,Yes,11,Yes,No
28,single,Bachelor Degree,Male,25,> 20 kms,Consultants,9,12/24/15,5/28/16,22,3,Lateral,No,4,No,Yes
39,single,Master Degree,Male,19,> 20 kms,Consultants,8,11/14/15,4/28/16,21,3,Lateral,Yes,12,No,Yes
37,divorced,Bachelor Degree,Male,19,> 20 kms,Job Portals,9,12/11/15,5/14/16,18,8,Lateral,No,13,No,Yes
30,married,Associate Certification,Male,25,15-20 kms,Job Portals,10,6/21/15,7/15/15,74,4,Lateral,Yes,6,No,No
39,married,Master Degree,Male,16,<15 kms,Social Media,9,12/20/15,1/28/16,77,4,Lateral,No,15,No,No
37,married,Associate Degree,Male,12,<15 kms,Company Website,10,3/29/15,4/2/15,46,8,Lateral,No,13,No,No
30,married,Associate Certification,Male,24,<15 kms,Social Media,3,1/21/16,2/18/16,38,4,Lateral,Yes,6,No,No
34,married,Master Degree,Male,28,<15 kms,Consultants,8,4/30/15,10/12/15,17,5,Lateral,No,10,No,Yes
31,married,Bachelor Degree,Male,19,> 20 kms,Internal Referrals,8,6/5/15,10/30/15,15,5,Lateral,Yes,7,No,Yes
34,married,Master Degree,Male,20,15-20 kms,Company Website,4,9/22/15,9/26/15,61,4,Lateral,Yes,10,Yes,No
35,divorced,Master Degree,Male,20,<15 kms,Consultants,9,12/20/15,5/23/16,29,8,Lateral,Yes,11,No,Yes
27,married,Bachelor Degree,Male,22,> 20 kms,Job Portals,3,6/9/15,6/30/15,82,5,Lateral,No,6,Yes,No
37,married,Associate Degree,Male,13,15-20 kms,Job Portals,4,6/27/16,7/3/16,85,6,Vertical,Yes,13,No,No
33,married,Associate Certification,Male,25,<15 kms,Consultants,8,4/2/16,8/20/16,30,8,Lateral,No,9,No,Yes
39,divorced,Associate Degree,Male,13,15-20 kms,Social Media,7,11/1/15,11/30/15,92,6,Lateral,Yes,15,No,No
30,single,Associate Certification,Male,19,15-20 kms,Job Portals,4,7/17/15,8/22/15,42,4,Lateral,No,6,No,No
32,divorced,Associate Certification,Male,20,> 20 kms,Consultants,8,12/20/15,5/11/16,17,4,Lateral,No,8,No,Yes
33,single,Bachelor Degree,Male,13,> 20 kms,Job Portals,6,5/8/16,5/27/16,85,6,Lateral,Yes,9,Yes,No
35,married,Associate Certification,Male,30,> 20 kms,Consultants,8,9/17/15,2/17/16,28,3,Lateral,No,11,No,Yes
33,married,Associate Certification,Male,23,15-20 kms,Job Portals,8,11/13/15,12/1/15,58,3,Vertical,No,9,Yes,No
32,married,Bachelor Degree,Male,30,<15 kms,Consultants,9,12/25/15,5/31/16,19,4,Lateral,No,8,No,Yes
35,married,Associate Degree,Male,23,<15 kms,Internal Referrals,8,7/10/15,12/16/15,20,8,Lateral,Yes,11,No,Yes
38,divorced,Bachelor Degree,Male,15,<15 kms,Social Media,3,12/24/15,1/12/16,54,7,Lateral,Yes,14,No,No
25,single,Associate Degree,Male,27,> 20 kms,Consultants,9,8/16/15,1/19/16,24,2,Lateral,Yes,1,No,Yes
38,married,Associate Certification,Male,18,<15 kms,Consultants,3,6/14/15,7/10/15,26,3,Vertical,No,14,No,No
35,married,Master Degree,Male,18,15-20 kms,Job Portals,8,10/16/15,10/23/15,72,4,Lateral,Yes,11,No,No
39,married,Associate Degree,Male,19,> 20 kms,Job Portals,9,6/6/16,11/12/16,24,4,Lateral,No,15,No,Yes
33,single,Associate Degree,Male,18,<15 kms,Consultants,10,9/18/15,2/8/16,20,3,Lateral,Yes,9,No,Yes
39,married,Master Degree,Male,15,<15 kms,Company Website,4,3/14/16,3/23/16,69,3,Lateral,No,15,Yes,No
33,married,Associate Certification,Male,13,15-20 kms,Company Website,3,7/17/15,8/3/15,77,3,Vertical,Yes,9,No,No
38,married,Bachelor Degree,Male,15,> 20 kms,Social Media,3,10/15/15,11/15/15,32,8,Lateral,No,14,Yes,No
34,married,Master Degree,Male,26,> 20 kms,Consultants,8,12/24/15,5/27/16,30,3,Lateral,Yes,10,No,Yes
